country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
AU,Australia,New South Wales,Armidale Dumaresq Council,,,,ChIJPXdpvMSnn2sRamkBGce1LIM,10/04/2022,,,,,-3,
AU,Australia,New South Wales,Armidale Dumaresq Council,,,,ChIJPXdpvMSnn2sRamkBGce1LIM,11/04/2022,,,,,7,
AU,Australia,New South Wales,Armidale Dumaresq Council,,,,ChIJPXdpvMSnn2sRamkBGce1LIM,12/04/2022,7,,,,1,
AU,Australia,New South Wales,Armidale Dumaresq Council,,,,ChIJPXdpvMSnn2sRamkBGce1LIM,13/04/2022,15,,,,-1,
AU,Australia,New South Wales,Armidale Dumaresq Council,,,,ChIJPXdpvMSnn2sRamkBGce1LIM,14/04/2022,27,,,,-1,
AU,Australia,New South Wales,Armidale Dumaresq Council,,,,ChIJPXdpvMSnn2sRamkBGce1LIM,15/04/2022,-60,,,,-70,
AU,Australia,New South Wales,Armidale Dumaresq Council,,,,ChIJPXdpvMSnn2sRamkBGce1LIM,16/04/2022,23,,,,-13,
AU,Australia,New South Wales,Armidale Dumaresq Council,,,,ChIJPXdpvMSnn2sRamkBGce1LIM,17/04/2022,,,,,-38,
AU,Australia,New South Wales,Armidale Dumaresq Council,,,,ChIJPXdpvMSnn2sRamkBGce1LIM,18/04/2022,,,,,-60,
AU,Australia,New South Wales,Armidale Dumaresq Council,,,,ChIJPXdpvMSnn2sRamkBGce1LIM,19/04/2022,4,,,,-5,
AU,Australia,New South Wales,Armidale Dumaresq Council,,,,ChIJPXdpvMSnn2sRamkBGce1LIM,20/04/2022,4,,,,-6,
AU,Australia,New South Wales,Armidale Dumaresq Council,,,,ChIJPXdpvMSnn2sRamkBGce1LIM,21/04/2022,-1,,,,-4,
AU,Australia,New South Wales,Armidale Dumaresq Council,,,,ChIJPXdpvMSnn2sRamkBGce1LIM,22/04/2022,5,,,,1,
AU,Australia,New South Wales,Armidale Dumaresq Council,,,,ChIJPXdpvMSnn2sRamkBGce1LIM,23/04/2022,14,,,,12,
AU,Australia,New South Wales,Armidale Dumaresq Council,,,,ChIJPXdpvMSnn2sRamkBGce1LIM,25/04/2022,-22,,,,-61,
AU,Australia,New South Wales,Armidale Dumaresq Council,,,,ChIJPXdpvMSnn2sRamkBGce1LIM,26/04/2022,5,,,,13,
AU,Australia,New South Wales,Armidale Dumaresq Council,,,,ChIJPXdpvMSnn2sRamkBGce1LIM,27/04/2022,11,,,,14,
AU,Australia,New South Wales,Armidale Dumaresq Council,,,,ChIJPXdpvMSnn2sRamkBGce1LIM,28/04/2022,11,,,,18,
AU,Australia,New South Wales,Armidale Dumaresq Council,,,,ChIJPXdpvMSnn2sRamkBGce1LIM,29/04/2022,16,,,,18,
AU,Australia,New South Wales,Armidale Dumaresq Council,,,,ChIJPXdpvMSnn2sRamkBGce1LIM,30/04/2022,38,,,,18,
AU,Australia,New South Wales,Ballina Shire,,,,ChIJGSMhcwKCkGsRWLKq2JtdcD0,1/04/2022,5,20,-40,-74,-9,3
AU,Australia,New South Wales,Ballina Shire,,,,ChIJGSMhcwKCkGsRWLKq2JtdcD0,2/04/2022,16,19,-35,,-10,
AU,Australia,New South Wales,Ballina Shire,,,,ChIJGSMhcwKCkGsRWLKq2JtdcD0,3/04/2022,24,,-23,-67,-11,
AU,Australia,New South Wales,Ballina Shire,,,,ChIJGSMhcwKCkGsRWLKq2JtdcD0,4/04/2022,28,,-30,-5,-3,0
AU,Australia,New South Wales,Ballina Shire,,,,ChIJGSMhcwKCkGsRWLKq2JtdcD0,5/04/2022,25,31,-14,,-7,0
AU,Australia,New South Wales,Ballina Shire,,,,ChIJGSMhcwKCkGsRWLKq2JtdcD0,6/04/2022,22,23,-20,-15,-7,2
AU,Australia,New South Wales,Ballina Shire,,,,ChIJGSMhcwKCkGsRWLKq2JtdcD0,7/04/2022,22,38,-18,-4,-4,1
AU,Australia,New South Wales,Ballina Shire,,,,ChIJGSMhcwKCkGsRWLKq2JtdcD0,8/04/2022,15,33,-41,-10,0,2
AU,Australia,New South Wales,Ballina Shire,,,,ChIJGSMhcwKCkGsRWLKq2JtdcD0,9/04/2022,25,36,-23,,-11,
AU,Australia,New South Wales,Ballina Shire,,,,ChIJGSMhcwKCkGsRWLKq2JtdcD0,10/04/2022,23,,-22,-3,-14,
AU,Australia,New South Wales,Ballina Shire,,,,ChIJGSMhcwKCkGsRWLKq2JtdcD0,11/04/2022,31,,-2,7,-11,1
AU,Australia,New South Wales,Ballina Shire,,,,ChIJGSMhcwKCkGsRWLKq2JtdcD0,12/04/2022,27,47,3,,-15,2
AU,Australia,New South Wales,Ballina Shire,,,,ChIJGSMhcwKCkGsRWLKq2JtdcD0,13/04/2022,30,46,-23,,-16,4
AU,Australia,New South Wales,Ballina Shire,,,,ChIJGSMhcwKCkGsRWLKq2JtdcD0,14/04/2022,44,90,-6,,-16,1
AU,Australia,New South Wales,Ballina Shire,,,,ChIJGSMhcwKCkGsRWLKq2JtdcD0,15/04/2022,-52,-73,-9,3,-66,16
AU,Australia,New South Wales,Ballina Shire,,,,ChIJGSMhcwKCkGsRWLKq2JtdcD0,16/04/2022,33,57,-7,,-21,
AU,Australia,New South Wales,Ballina Shire,,,,ChIJGSMhcwKCkGsRWLKq2JtdcD0,17/04/2022,7,,-12,-26,-20,
AU,Australia,New South Wales,Ballina Shire,,,,ChIJGSMhcwKCkGsRWLKq2JtdcD0,18/04/2022,13,8,22,,-65,9
AU,Australia,New South Wales,Ballina Shire,,,,ChIJGSMhcwKCkGsRWLKq2JtdcD0,19/04/2022,27,37,4,,-19,3
AU,Australia,New South Wales,Ballina Shire,,,,ChIJGSMhcwKCkGsRWLKq2JtdcD0,20/04/2022,16,17,-3,,-20,4
AU,Australia,New South Wales,Ballina Shire,,,,ChIJGSMhcwKCkGsRWLKq2JtdcD0,21/04/2022,19,32,-19,-2,-18,4
AU,Australia,New South Wales,Ballina Shire,,,,ChIJGSMhcwKCkGsRWLKq2JtdcD0,22/04/2022,9,24,-39,3,-14,4
AU,Australia,New South Wales,Ballina Shire,,,,ChIJGSMhcwKCkGsRWLKq2JtdcD0,23/04/2022,19,23,-28,,-13,
AU,Australia,New South Wales,Ballina Shire,,,,ChIJGSMhcwKCkGsRWLKq2JtdcD0,24/04/2022,19,,-28,-8,-15,
AU,Australia,New South Wales,Ballina Shire,,,,ChIJGSMhcwKCkGsRWLKq2JtdcD0,25/04/2022,-7,-18,12,3,-65,11
AU,Australia,New South Wales,Ballina Shire,,,,ChIJGSMhcwKCkGsRWLKq2JtdcD0,26/04/2022,24,40,-20,,-9,2
AU,Australia,New South Wales,Ballina Shire,,,,ChIJGSMhcwKCkGsRWLKq2JtdcD0,27/04/2022,19,25,-27,-8,-5,3
AU,Australia,New South Wales,Ballina Shire,,,,ChIJGSMhcwKCkGsRWLKq2JtdcD0,28/04/2022,24,38,-11,-11,-6,1
AU,Australia,New South Wales,Ballina Shire,,,,ChIJGSMhcwKCkGsRWLKq2JtdcD0,29/04/2022,12,24,-31,-4,-1,2
AU,Australia,New South Wales,Ballina Shire,,,,ChIJGSMhcwKCkGsRWLKq2JtdcD0,30/04/2022,25,32,-6,-9,-10,
AU,Australia,New South Wales,Bankstown City Council,,,,ChIJBUCbNJ6-EmsRKjYZthGxB6w,1/04/2022,-1,13,-21,-39,-10,5
AU,Australia,New South Wales,Bankstown City Council,,,,ChIJBUCbNJ6-EmsRKjYZthGxB6w,2/04/2022,0,16,31,-40,-13,4
AU,Australia,New South Wales,Bankstown City Council,,,,ChIJBUCbNJ6-EmsRKjYZthGxB6w,3/04/2022,-3,5,17,-36,-12,4
AU,Australia,New South Wales,Bankstown City Council,,,,ChIJBUCbNJ6-EmsRKjYZthGxB6w,4/04/2022,-12,7,1,-40,-14,5
AU,Australia,New South Wales,Bankstown City Council,,,,ChIJBUCbNJ6-EmsRKjYZthGxB6w,5/04/2022,-13,12,-3,-38,-20,6
AU,Australia,New South Wales,Bankstown City Council,,,,ChIJBUCbNJ6-EmsRKjYZthGxB6w,6/04/2022,-18,6,-43,-42,-18,8
AU,Australia,New South Wales,Bankstown City Council,,,,ChIJBUCbNJ6-EmsRKjYZthGxB6w,7/04/2022,-19,1,-39,-44,-17,9
AU,Australia,New South Wales,Bankstown City Council,,,,ChIJBUCbNJ6-EmsRKjYZthGxB6w,8/04/2022,-10,14,-32,-39,-13,7
AU,Australia,New South Wales,Bankstown City Council,,,,ChIJBUCbNJ6-EmsRKjYZthGxB6w,9/04/2022,0,19,9,-36,-12,4
AU,Australia,New South Wales,Bankstown City Council,,,,ChIJBUCbNJ6-EmsRKjYZthGxB6w,10/04/2022,-1,6,4,-32,-11,3
AU,Australia,New South Wales,Bankstown City Council,,,,ChIJBUCbNJ6-EmsRKjYZthGxB6w,11/04/2022,-10,9,-10,-41,-24,6
AU,Australia,New South Wales,Bankstown City Council,,,,ChIJBUCbNJ6-EmsRKjYZthGxB6w,12/04/2022,-5,13,-12,-42,-28,7
AU,Australia,New South Wales,Bankstown City Council,,,,ChIJBUCbNJ6-EmsRKjYZthGxB6w,13/04/2022,-10,13,-26,-41,-26,7
AU,Australia,New South Wales,Bankstown City Council,,,,ChIJBUCbNJ6-EmsRKjYZthGxB6w,14/04/2022,2,32,1,-35,-25,4
AU,Australia,New South Wales,Bankstown City Council,,,,ChIJBUCbNJ6-EmsRKjYZthGxB6w,15/04/2022,-40,-47,14,-55,-75,17
AU,Australia,New South Wales,Bankstown City Council,,,,ChIJBUCbNJ6-EmsRKjYZthGxB6w,16/04/2022,-2,32,28,-33,-27,3
AU,Australia,New South Wales,Bankstown City Council,,,,ChIJBUCbNJ6-EmsRKjYZthGxB6w,17/04/2022,-35,-55,16,-31,-31,2
AU,Australia,New South Wales,Bankstown City Council,,,,ChIJBUCbNJ6-EmsRKjYZthGxB6w,18/04/2022,-6,14,-4,-57,-72,13
AU,Australia,New South Wales,Bankstown City Council,,,,ChIJBUCbNJ6-EmsRKjYZthGxB6w,19/04/2022,-6,16,-10,-43,-31,7
AU,Australia,New South Wales,Bankstown City Council,,,,ChIJBUCbNJ6-EmsRKjYZthGxB6w,20/04/2022,-9,10,-1,-36,-27,6
AU,Australia,New South Wales,Bankstown City Council,,,,ChIJBUCbNJ6-EmsRKjYZthGxB6w,21/04/2022,-9,6,11,-39,-25,6
AU,Australia,New South Wales,Bankstown City Council,,,,ChIJBUCbNJ6-EmsRKjYZthGxB6w,22/04/2022,-5,17,-18,-35,-22,6
AU,Australia,New South Wales,Bankstown City Council,,,,ChIJBUCbNJ6-EmsRKjYZthGxB6w,23/04/2022,0,19,85,-25,-14,2
AU,Australia,New South Wales,Bankstown City Council,,,,ChIJBUCbNJ6-EmsRKjYZthGxB6w,24/04/2022,0,2,19,-22,-14,0
AU,Australia,New South Wales,Bankstown City Council,,,,ChIJBUCbNJ6-EmsRKjYZthGxB6w,25/04/2022,-12,1,-15,-56,-73,17
AU,Australia,New South Wales,Bankstown City Council,,,,ChIJBUCbNJ6-EmsRKjYZthGxB6w,26/04/2022,-4,23,-16,-41,-22,7
AU,Australia,New South Wales,Bankstown City Council,,,,ChIJBUCbNJ6-EmsRKjYZthGxB6w,27/04/2022,-10,12,-29,-34,-13,5
AU,Australia,New South Wales,Bankstown City Council,,,,ChIJBUCbNJ6-EmsRKjYZthGxB6w,28/04/2022,-7,11,-10,-34,-13,5
